DESCRIÇÃO;LANÇAMENTO;VENCIMENTO;EFETIVAÇÃO;CATEGORIA;SUBCATEGORIA;CARTÃO;CONTA;VALOR;OBSERVAÇÕES
Mercado car  3/3;03/03/2026 20:30;10/05/2026;;Transporte;I30;Santander Elite;Itaú;88.43;
Manutenção i30  2/3;05/03/2026 16:41;10/05/2026;;Transporte;I30;Santander Elite;Itaú;226.68;
Cobasi  2/2;16/03/2026 13:01;10/05/2026;;Família;Anim. estimação;Santander Elite;Itaú;111.35;"Compra no cartão final 6174, de R$ 222,70, em 16/03/26, às 12:56, em COBASI, aprovada.
#Cobasi"
Plano sem parar;07/01/2026 16:58;10/05/2026;;Transporte;Sem Parar;;Itaú;41.99;
Consulta médica Thor  3/3;18/02/2026 12:39;10/05/2026;;Família;Anim. estimação;Santander Elite;Itaú;346.39;
Claro;25/11/2024 09:38;11/05/2026;;Moradia;Internet;;Itaú;363.13;
Empréstimo Itaú  3/12;21/03/2026 19:16;01/06/2026;;Empréstimo Itaú;Parcelado;;Itaú;551.5;
Seguro cartão;04/07/2025 08:34;04/06/2026;;Assinaturas & Serviços;Recorrente Debito;;Itaú;16.79;
Mensalidade pós  2/20;01/12/2025 18:13;05/06/2026;;Despesas Variáveis (pessoal);Educação;;Itaú;500.0;
Luz energia;02/02/2025 15:23;05/06/2026;;Moradia;Conta De Luz;;Itaú;200.0;
Aluguel;25/11/2024 09:15;05/06/2026;;Moradia;Aluguel;;Itaú;1600.0;
Agua;02/02/2025 15:23;05/06/2026;;Moradia;Conta De Água;;Itaú;100.0;
Óculos 👓 Raissa  8/10;13/10/2025 10:12;05/06/2026;;Parcelamentos;Cartão Mãe;;Itaú;129.9;
Ventilador mãe presente  4/10;16/02/2026 02:48;05/06/2026;;Parcelamentos;Cartão Mãe;;Itaú;175.0;
Shopee raissa salão  5/6;07/01/2026 12:27;05/06/2026;;Parcelamentos;Cartão Mãe;;Itaú;132.26;
Rtx 5060ti 16GB  8/12;20/10/2025 07:59;05/06/2026;;Parcelamentos;Cartão Mãe;;Itaú;298.5;
Parcela i30  11/34;12/05/2025 12:03;05/06/2026;;Transporte;I30;;Itaú;1200.0;
Microondas magalu  6/6;23/12/2025 09:03;05/06/2026;;Parcelamentos;Cartão Mãe;;Itaú;133.33;
Dr consulta  9/9;06/10/2025 22:46;06/06/2026;;Parcelamentos;Cartão Mãe;;Itaú;41.85;
Manutenção i30  3/3;05/03/2026 16:41;10/06/2026;;Transporte;I30;Santander Elite;Itaú;226.68;
Plano sem parar;07/01/2026 16:58;10/06/2026;;Multicategorias;-;;Itaú;83.98;
Google My Finan;21/03/2026 20:10;10/06/2026;;Assinaturas & Serviços;Minhas Finanças;Santander Elite;Itaú;13.9;
Claude code;18/03/2026 22:28;10/06/2026;;Assinaturas & Serviços;Claude Cod;Santander Elite;Itaú;117.51;
Academia bernardo;18/03/2026 22:07;10/06/2026;;Família;Filhos;Santander Elite;Itaú;259.0;
Vita Animalia  3/10;16/03/2026 10:32;10/06/2026;;Família;Anim. estimação;Santander Elite;Itaú;200.87;"Compra no cartão final 6174, de R$ 2.008,16, em 16/03/26, às 10:27, em VITA ANIMALIA, aprovada.
#VitaAnimalia"
Claro;25/11/2024 09:38;11/06/2026;;Moradia;Internet;;Itaú;363.13;
Empréstimo Itaú  4/12;21/03/2026 19:16;01/07/2026;;Empréstimo Itaú;Parcelado;;Itaú;551.5;
Seguro cartão;04/07/2025 08:34;04/07/2026;;Assinaturas & Serviços;Recorrente Debito;;Itaú;16.79;
Parcela i30  12/34;12/05/2025 12:03;05/07/2026;;Transporte;I30;;Itaú;1200.0;
Luz energia;02/02/2025 15:23;05/07/2026;;Moradia;Conta De Luz;;Itaú;200.0;
Aluguel;25/11/2024 09:15;05/07/2026;;Moradia;Aluguel;;Itaú;1600.0;
Agua;02/02/2025 15:23;05/07/2026;;Moradia;Conta De Água;;Itaú;100.0;
Óculos 👓 Raissa  9/10;13/10/2025 10:12;05/07/2026;;Parcelamentos;Cartão Mãe;;Itaú;129.9;
Ventilador mãe presente  5/10;16/02/2026 02:48;05/07/2026;;Parcelamentos;Cartão Mãe;;Itaú;175.0;
Shopee raissa salão  6/6;07/01/2026 12:27;05/07/2026;;Parcelamentos;Cartão Mãe;;Itaú;132.26;
Rtx 5060ti 16GB  9/12;20/10/2025 07:59;05/07/2026;;Parcelamentos;Cartão Mãe;;Itaú;298.5;
Mensalidade pós  3/20;01/12/2025 18:13;05/07/2026;;Despesas Variáveis (pessoal);Educação;;Itaú;500.0;
Plano sem parar;07/01/2026 16:58;10/07/2026;;Multicategorias;-;;Itaú;83.98;
Google My Finan;21/03/2026 20:10;10/07/2026;;Assinaturas & Serviços;Minhas Finanças;Santander Elite;Itaú;13.9;
Claude code;18/03/2026 22:28;10/07/2026;;Assinaturas & Serviços;Claude Cod;Santander Elite;Itaú;117.51;
Academia bernardo;18/03/2026 22:07;10/07/2026;;Família;Filhos;Santander Elite;Itaú;259.0;
Vita Animalia  4/10;16/03/2026 10:32;10/07/2026;;Família;Anim. estimação;Santander Elite;Itaú;200.87;"Compra no cartão final 6174, de R$ 2.008,16, em 16/03/26, às 10:27, em VITA ANIMALIA, aprovada.
#VitaAnimalia"
Claro;25/11/2024 09:38;11/07/2026;;Moradia;Internet;;Itaú;363.13;
Empréstimo Itaú  5/12;21/03/2026 19:16;01/08/2026;;Empréstimo Itaú;Parcelado;;Itaú;551.5;
Seguro cartão;04/07/2025 08:34;04/08/2026;;Assinaturas & Serviços;Recorrente Debito;;Itaú;16.79;
